iter	Logloss
0	0.6385410498
1	0.5953842673
2	0.5582155638
3	0.521142383
4	0.4928660629
5	0.4683851968
6	0.4453618674
7	0.4230083351
8	0.4038930614
9	0.3846107086
10	0.3692906893
11	0.3577142122
12	0.3434548218
13	0.3324514069
14	0.3210667033
15	0.3111722232
16	0.30341417
17	0.294560094
18	0.2883258812
19	0.2817637301
20	0.2770264882
21	0.2706998173
22	0.2667081271
23	0.2623094385
24	0.2575961181
25	0.2537170978
26	0.2496487234
27	0.2464840552
28	0.2436333577
29	0.2411641734
30	0.238794546
31	0.2364633881
32	0.2342231897
33	0.2321068066
34	0.2301534978
35	0.2279011673
36	0.2260998917
37	0.2240132615
38	0.2224372068
39	0.2207168373
40	0.2194802023
41	0.2181064784
42	0.2168869553
43	0.2153636007
44	0.2138888353
45	0.2128211762
46	0.2119660729
47	0.2111671667
48	0.2097431823
49	0.2084673467
50	0.2075650452
51	0.2069190489
52	0.20611646
53	0.2053671471
54	0.2043930502
55	0.2036578712
56	0.2029716517
57	0.2021194808
58	0.2011612067
59	0.2004547547
60	0.1993548869
61	0.1986889441
62	0.1982763688
63	0.1973076736
64	0.1964641068
65	0.195819892
66	0.1948053977
67	0.1941373568
68	0.1936239169
69	0.1931583968
70	0.1926077412
71	0.1921922589
72	0.1917022735
73	0.1912301697
74	0.1903854405
75	0.1899011577
76	0.1895966551
77	0.1893030755
78	0.1889585122
79	0.1883428377
80	0.1879887551
81	0.1875304974
82	0.1872100767
83	0.1867210851
84	0.1861732645
85	0.185479774
86	0.185292758
87	0.1850952397
88	0.1849894339
89	0.1846895519
90	0.184401542
91	0.183896367
92	0.1831146275
93	0.1824135375
94	0.1821287946
95	0.1818741405
96	0.1815210169
97	0.1809936346
98	0.1805393521
99	0.180304913
100	0.1800185594
101	0.1797164552
102	0.1794561195
103	0.1790251161
104	0.1787472849
105	0.1785142906
106	0.1779917087
107	0.1775105967
108	0.1772225436
109	0.1770548182
110	0.1768494498
111	0.1765230355
112	0.1762084857
113	0.1759404958
114	0.1757181825
115	0.1755228364
116	0.1749559452
117	0.1746326199
118	0.1745013525
119	0.1740835013
120	0.1734972029
121	0.1732566963
122	0.1730892513
123	0.172861945
124	0.1726744683
125	0.1723844848
126	0.1720937515
127	0.1714866151
128	0.1711567148
129	0.1706901764
130	0.1704090534
131	0.1699585583
132	0.1696853716
133	0.1694968472
134	0.1693381434
135	0.1689933197
136	0.1689177066
137	0.1687727013
138	0.1684574691
139	0.168202193
140	0.1677979507
141	0.1675148101
142	0.1672449352
143	0.1668254088
144	0.1666287863
145	0.166498874
146	0.1663357376
147	0.166071688
148	0.1656517592
149	0.1655391306
150	0.1653613822
151	0.1650476537
152	0.1646676893
153	0.1645835774
154	0.1642790905
155	0.1638880472
156	0.1636220906
157	0.1634446967
158	0.1631053444
159	0.162848972
160	0.1626685044
161	0.1623669255
162	0.1619746443
163	0.161557888
164	0.1611906042
165	0.1610219347
166	0.1608167063
167	0.1603742191
168	0.1600799917
169	0.1598890115
170	0.1596255494
171	0.1594036559
172	0.1592379529
173	0.1590365418
174	0.1589174409
175	0.1586706758
176	0.1584915061
177	0.1582506505
178	0.1581791957
179	0.1578536004
180	0.1576540013
181	0.1575618658
182	0.1573434287
183	0.1571875139
184	0.1570120276
185	0.156695763
186	0.1565184793
187	0.156405463
188	0.1563400568
189	0.1562430786
190	0.1560988084
191	0.1558898175
192	0.1555862449
193	0.1554277876
194	0.1553137342
195	0.1551517205
196	0.1547893524
197	0.1544232646
198	0.154082742
199	0.1539664475
200	0.1538306436
201	0.1535957807
202	0.1532812226
203	0.1531619603
204	0.153080747
205	0.1529182952
206	0.1527920836
207	0.1526326639
208	0.1525140279
209	0.1521595412
210	0.1520715608
211	0.151934327
212	0.151867249
213	0.1517124655
214	0.1515742307
215	0.1513347865
216	0.1512821369
217	0.1510767549
218	0.1508989143
219	0.1505842601
220	0.1504928279
221	0.1503871116
222	0.1502760452
223	0.1501176548
224	0.1499049433
225	0.1496780042
226	0.1495775861
227	0.1495280259
228	0.1493711253
229	0.1491340829
230	0.1490058524
231	0.148892708
232	0.1487748618
233	0.148663007
234	0.1486064299
235	0.1484649684
236	0.1482606761
237	0.1480813314
238	0.1479565471
239	0.1478230816
240	0.1475895894
241	0.1474858907
242	0.1473045025
243	0.1471374115
244	0.1470243967
245	0.1468938356
246	0.146814161
247	0.1467042798
248	0.1466061866
249	0.1465190681
250	0.1463650971
251	0.1462597257
252	0.1461830261
253	0.1460235547
254	0.145946163
255	0.1456774293
256	0.145446231
257	0.1453104079
258	0.1451959383
259	0.1450661473
260	0.1448746571
261	0.1447667255
262	0.1446546477
263	0.1445629967
264	0.1444579385
265	0.144331369
266	0.1442232638
267	0.144128059
268	0.1440504545
269	0.1439694223
270	0.1436713238
271	0.1435599087
272	0.1434249468
273	0.1433382166
274	0.1432554351
275	0.1431878643
276	0.1431024398
277	0.1430501698
278	0.1428774689
279	0.1426811825
280	0.1425742432
281	0.1424182459
282	0.1422377881
283	0.1421548748
284	0.1419595715
285	0.1416799415
286	0.1415714387
287	0.1414966148
288	0.1413916042
289	0.1413066185
290	0.1410072769
291	0.1407858663
292	0.140704877
293	0.1406133222
294	0.1405050872
295	0.1402759789
296	0.1401281321
297	0.1399740776
298	0.1398331365
299	0.1396841777
300	0.1396046019
301	0.1395288248
302	0.1394621436
303	0.1393928283
304	0.1392264191
305	0.1391052134
306	0.1390657451
307	0.1389970757
308	0.1387876173
309	0.1386824569
310	0.1385288996
311	0.1383648438
312	0.1382504812
313	0.1382088227
314	0.13804111
315	0.137779429
316	0.1377012984
317	0.1374524624
318	0.1373033119
319	0.1371831112
320	0.1371119987
321	0.1369147586
322	0.1368259135
323	0.13663379
324	0.1365096088
325	0.1363971205
326	0.1362510143
327	0.1361553724
328	0.1360592573
329	0.1359839397
330	0.1358467688
331	0.1357442135
332	0.135706389
333	0.1355124187
334	0.1354690938
335	0.1352894108
336	0.1351796365
337	0.1351469939
338	0.1350399145
339	0.1349508694
340	0.1346264294
341	0.134526191
342	0.1343686875
343	0.1342906723
344	0.1342223426
345	0.1341427949
346	0.1339902598
347	0.1339237853
348	0.1338533794
349	0.1337396536
350	0.1336689786
351	0.1335987514
352	0.1335202645
353	0.1333501039
354	0.1331825929
355	0.1330644788
356	0.1329144355
357	0.1327164499
358	0.1325748259
359	0.1324717139
360	0.1323418212
361	0.1321706403
362	0.1321071396
363	0.1319764162
364	0.1319051178
365	0.1315858605
366	0.131484586
367	0.1313834839
368	0.1312557801
369	0.131171288
370	0.1310841062
371	0.1309910885
372	0.1308863277
373	0.1307608352
374	0.1305636292
375	0.1303709149
376	0.1302944816
377	0.1301981777
378	0.1301240319
379	0.1300277831
380	0.1299452125
381	0.1298565434
382	0.1297554738
383	0.1297281276
384	0.1296373261
385	0.1294093344
386	0.1293006978
387	0.1292436164
388	0.1291436868
389	0.1290135161
390	0.1289358468
391	0.1287013712
392	0.1284590549
393	0.1283706301
394	0.1282579808
395	0.1281813909
396	0.1281287799
397	0.1280682222
398	0.1280084423
399	0.1278823273
400	0.1278250827
401	0.1277817676
402	0.1277165507
403	0.1274664077
404	0.1273706297
405	0.1272563147
406	0.1271838196
407	0.127017827
408	0.1269120137
409	0.1268235257
410	0.1266968798
411	0.1266340865
412	0.1264823068
413	0.1264263495
414	0.126327149
415	0.1262603095
416	0.1261893944
417	0.1260381255
418	0.1258725226
419	0.1257529004
420	0.1256981417
421	0.125615016
422	0.1255567977
423	0.1255032017
424	0.1254257711
425	0.1253778382
426	0.1252909255
427	0.1251288237
428	0.1250071621
429	0.124851319
430	0.1247307163
431	0.1246308972
432	0.1244806588
433	0.1244029074
434	0.1242668791
435	0.1241786652
436	0.1241261295
437	0.1240274537
438	0.123981827
439	0.1238770773
440	0.1237218447
441	0.1236559623
442	0.1236037709
443	0.1235044229
444	0.1234005997
445	0.1232842703
446	0.1231692017
447	0.1230275841
448	0.1228987649
449	0.1227676722
450	0.1226920722
451	0.1226499598
452	0.1225948852
453	0.122543669
454	0.122498312
455	0.1223901189
456	0.1222574742
457	0.1221916989
458	0.1220880861
459	0.1220001484
460	0.1219118265
461	0.1217841113
462	0.1216831454
463	0.1215700833
464	0.1214415994
465	0.121382593
466	0.1212976797
467	0.121225326
468	0.1211176604
469	0.1210439393
470	0.1209688365
471	0.1209465796
472	0.1208989291
473	0.1208465192
474	0.120779427
475	0.1206574849
476	0.1205703472
477	0.1204582959
478	0.1203713009
479	0.1203394668
480	0.1202417567
481	0.1201773112
482	0.1200755688
483	0.1199624987
484	0.1198298709
485	0.1196824603
486	0.1196198406
487	0.1194816417
488	0.1193852047
489	0.1193642974
490	0.1193062097
491	0.1192588602
492	0.1191729081
493	0.1190921375
494	0.1189910243
495	0.11896407
496	0.1189107841
497	0.1188685375
498	0.1187695844
499	0.1186710419
500	0.1185519048
501	0.1184983496
502	0.1184013405
503	0.1182962256
504	0.1181921719
505	0.1180790442
506	0.1179750106
507	0.1178076896
508	0.1177541353
509	0.1175655959
510	0.1174838274
511	0.1173698077
512	0.1172801968
513	0.1171941664
514	0.1171066885
515	0.1170479147
516	0.1170042596
517	0.1168645526
518	0.1168029783
519	0.1166990866
520	0.1166358179
521	0.1165610761
522	0.1165179735
523	0.1164655961
524	0.1164244672
525	0.1163417257
526	0.1162984843
527	0.1162419845
528	0.1161435538
529	0.1160517979
530	0.1159567565
531	0.1158713325
532	0.1157769429
533	0.1157227053
534	0.1156668254
535	0.1155987379
536	0.1155279829
537	0.1154793029
538	0.1154133516
539	0.1153466099
540	0.1152922832
541	0.1151927307
542	0.1151487487
543	0.1150047372
544	0.1149648967
545	0.1148856078
546	0.1148264586
