iter	Passed	Remaining
426	1658	2226
427	1661	2220
428	1664	2215
429	1666	2209
430	1668	2203
431	1670	2196
432	1673	2191
433	1675	2185
434	1678	2180
435	1680	2173
436	1682	2167
437	1684	2161
438	1686	2154
439	1688	2148
440	1689	2142
441	1691	2135
442	1694	2130
443	1696	2123
444	1697	2117
445	1699	2111
446	1701	2105
447	1703	2099
448	1705	2093
449	1708	2087
450	1709	2081
451	1711	2075
452	1713	2069
453	1715	2063
454	1717	2056
455	1718	2050
456	1721	2045
457	1723	2039
458	1724	2033
459	1726	2027
460	1728	2021
461	1730	2015
462	1732	2009
463	1734	2003
464	1736	1997
465	1738	1992
466	1740	1986
467	1742	1980
468	1743	1974
469	1745	1968
470	1747	1962
471	1749	1957
472	1751	1951
473	1753	1945
474	1754	1939
475	1756	1933
476	1758	1927
477	1760	1922
478	1761	1916
479	1765	1912
480	1768	1907
481	1770	1902
482	1772	1897
483	1774	1892
484	1777	1887
485	1779	1882
486	1781	1876
487	1783	1871
488	1785	1865
489	1787	1860
490	1789	1855
491	1791	1850
492	1794	1845
493	1796	1839
494	1798	1834
495	1800	1829
496	1802	1824
497	1804	1819
498	1806	1814
499	1808	1808
500	1810	1803
501	1812	1798
502	1814	1792
503	1816	1787
504	1818	1782
505	1820	1777
506	1822	1772
507	1824	1767
508	1826	1762
509	1828	1756
510	1830	1751
511	1832	1747
512	1834	1741
513	1837	1736
514	1839	1731
515	1841	1726
516	1843	1721
517	1845	1716
518	1847	1712
519	1849	1707
520	1851	1702
521	1853	1697
522	1855	1692
523	1857	1687
524	1859	1682
525	1861	1677
526	1863	1672
527	1865	1667
528	1867	1662
529	1869	1657
530	1871	1652
531	1873	1647
532	1875	1643
533	1877	1638
534	1879	1633
535	1881	1628
536	1883	1623
537	1885	1618
538	1887	1614
539	1889	1609
540	1890	1604
541	1892	1599
542	1895	1594
543	1897	1590
544	1899	1585
545	1901	1581
546	1903	1576
547	1905	1571
548	1907	1566
549	1909	1562
550	1911	1557
551	1913	1552
552	1915	1548
553	1917	1543
554	1919	1538
555	1921	1534
556	1922	1529
557	1924	1524
558	1926	1520
559	1930	1516
560	1932	1512
561	1934	1507
562	1935	1502
563	1937	1497
564	1939	1493
565	1941	1488
566	1943	1484
567	1945	1479
568	1947	1475
569	1949	1470
570	1951	1465
571	1953	1461
572	1954	1456
573	1956	1452
574	1958	1447
575	1960	1443
576	1962	1438
577	1963	1433
578	1965	1429
579	1967	1424
580	1969	1420
581	1971	1415
582	1973	1411
583	1975	1407
584	1977	1402
585	1979	1398
586	1980	1393
587	1982	1389
