iter	RMSE
0	3.245004523
1	3.160172301
2	3.076557404
3	2.989236348
4	2.910907635
5	2.838564075
6	2.769346049
7	2.698569413
8	2.636026166
9	2.569524865
10	2.503965568
11	2.442555345
12	2.386602315
13	2.321542765
14	2.265416982
15	2.213364879
16	2.156801667
17	2.104510607
18	2.048746831
19	2.00257356
20	1.954977605
21	1.908820033
22	1.865533127
23	1.820907431
24	1.778754077
25	1.740593141
26	1.701148307
27	1.667264011
28	1.632392742
29	1.598759684
30	1.565836063
31	1.536260556
32	1.505663645
33	1.475179406
34	1.445830307
35	1.418052886
36	1.392860692
37	1.3689736
38	1.343699307
39	1.321131746
40	1.297936706
41	1.275967887
42	1.257525598
43	1.237105347
44	1.215555658
45	1.195281378
46	1.175984127
47	1.156583978
48	1.138395183
49	1.120429721
50	1.103790615
51	1.086890425
52	1.073299349
53	1.057133944
54	1.044202584
55	1.031005563
56	1.016223455
57	1.002919139
58	0.9903514109
59	0.9791909275
60	0.9674847261
61	0.9570557527
62	0.9491697375
63	0.9394663801
64	0.9292676661
65	0.9200567713
66	0.9133441276
67	0.9050660329
68	0.8965499448
69	0.8883623797
70	0.8809154171
71	0.8725344449
72	0.8660302448
73	0.8577140554
74	0.8496425601
75	0.8428996627
76	0.8359326135
77	0.830271328
78	0.8246227723
79	0.8182395917
80	0.8124022811
81	0.808826224
82	0.8027192142
83	0.7980350302
84	0.7932846818
85	0.788203558
86	0.7824531558
87	0.7789107769
88	0.7728411789
89	0.7691951905
90	0.7642425723
91	0.7587814315
92	0.7555433912
93	0.7529146736
94	0.7489450877
95	0.7449757836
96	0.7424648376
97	0.7384805025
98	0.7344702126
99	0.7312924505
100	0.7284773462
101	0.7261380025
102	0.7238292744
103	0.7221211391
104	0.7199487298
105	0.7179344044
106	0.7148409236
107	0.7113466199
108	0.7088076607
109	0.7056280754
110	0.7031145617
111	0.7001652839
112	0.6975209541
113	0.6951361997
114	0.6936263155
115	0.6916460547
116	0.6891782415
117	0.6866619898
118	0.68383546
119	0.6814291351
120	0.6806692358
121	0.6793015613
122	0.6778118963
123	0.6768633384
124	0.6741000325
125	0.6729067245
126	0.6712978829
127	0.6700914598
128	0.6676414942
129	0.6657517034
130	0.6646729016
131	0.6634852868
132	0.6613350097
133	0.6600018915
134	0.6587350219
135	0.6578340552
136	0.6561542615
137	0.6537777357
138	0.6510144385
139	0.6504276116
140	0.649441119
141	0.6468970652
142	0.6458664016
143	0.6449260355
144	0.6441358273
145	0.6431284476
146	0.6426215714
147	0.6406935955
148	0.6397678607
149	0.6384345357
150	0.637359485
151	0.6368397844
152	0.6354455005
153	0.634905785
154	0.6340586272
155	0.6322505639
156	0.6308163429
157	0.629823162
158	0.6272831503
159	0.626601297
160	0.6257745329
161	0.6243700098
162	0.6224102646
163	0.6210335361
164	0.6203685443
165	0.6198555206
166	0.619219573
167	0.6185149663
168	0.6179164388
169	0.6170479081
170	0.6158364275
171	0.6154706195
172	0.6140039238
173	0.6135381503
174	0.6123897773
175	0.6116675394
176	0.6101613409
177	0.6098843845
178	0.6093426633
179	0.6090500014
180	0.6083313462
181	0.6069435806
182	0.6058793575
183	0.60484453
184	0.6035077542
185	0.6020439078
186	0.6009394014
187	0.6001942842
188	0.5992674442
189	0.5986732643
190	0.5977671129
191	0.5964374709
192	0.5957461711
193	0.5951394526
194	0.594306721
195	0.5934138457
196	0.5927795255
197	0.5913290478
198	0.5902585307
199	0.5894835097
200	0.5883233742
201	0.5863996004
202	0.5856924209
203	0.5853117223
204	0.5850011458
205	0.5846202993
206	0.5843900931
207	0.5837897948
208	0.5831437616
209	0.5825264606
210	0.5810595135
211	0.5807306905
212	0.5804011624
213	0.5797204152
214	0.5791518316
215	0.5787304847
216	0.5786039221
217	0.5784477549
218	0.5776040378
219	0.5769570954
220	0.5745585699
221	0.5742182815
222	0.573259139
223	0.5725201799
224	0.5720192328
225	0.5709208563
226	0.5706109166
227	0.5690802742
228	0.5686701298
229	0.5675530853
230	0.5674164712
231	0.5664783495
232	0.5660613008
233	0.5644160193
234	0.5631925305
235	0.5625620988
236	0.5615355805
237	0.5609997178
238	0.56050449
239	0.559100091
240	0.5587429044
241	0.5582815846
242	0.5571580938
243	0.5563977097
244	0.5553638372
245	0.5549645873
246	0.5540694154
247	0.5538663453
248	0.5533683165
249	0.5531936796
250	0.551744184
251	0.5511335822
252	0.5504740885
253	0.5496071815
254	0.5488938082
255	0.5486861425
256	0.5477862299
257	0.5473406175
258	0.5453538082
259	0.54504497
260	0.5435531966
261	0.5433573084
262	0.5432027205
263	0.5417301923
264	0.5415603446
265	0.5411927248
266	0.5400346838
267	0.539216177
268	0.5376261458
269	0.537455071
270	0.5371537477
271	0.5352992548
272	0.5348758112
273	0.5345183781
274	0.5332565794
275	0.5324818561
276	0.5321488884
277	0.5311752676
278	0.5299051355
279	0.5297716036
280	0.5288722548
281	0.5284965014
282	0.5277243089
283	0.5276032238
284	0.5267920413
285	0.5260049922
286	0.5249163179
287	0.524655655
288	0.524468736
289	0.5242321918
290	0.524107002
291	0.5226444743
292	0.5224010373
293	0.52129301
294	0.5210696674
295	0.5203586611
296	0.5201788822
297	0.5186793547
298	0.5174352123
299	0.5165154151
300	0.5158503471
301	0.5147800517
302	0.5145502301
303	0.5142159507
304	0.5135551634
305	0.5134383393
306	0.5128448086
307	0.5125091599
308	0.5120309304
309	0.5117502591
310	0.5101899632
311	0.5092478033
312	0.5091227439
313	0.508943729
314	0.5081619765
315	0.5078932761
316	0.507687075
317	0.5066790593
318	0.5064462828
319	0.50540006
320	0.504362248
321	0.5038893583
322	0.5035985169
323	0.5034084227
324	0.5023919178
325	0.5017815382
326	0.5006916271
327	0.4998378375
328	0.4991209055
329	0.4983412034
330	0.4969808369
331	0.4953526807
332	0.4950640922
333	0.4948663358
334	0.4947428187
335	0.4945781473
336	0.4935466816
337	0.4927140752
338	0.4926013577
339	0.4925113693
340	0.4915710186
341	0.4899497587
342	0.4894418477
343	0.4890598732
344	0.4887502626
345	0.4886628425
346	0.4868179457
347	0.4867389772
348	0.4850281579
349	0.4849532408
350	0.4839148553
351	0.4824020559
352	0.4820502784
353	0.4819752605
354	0.4814076357
355	0.480352413
356	0.4800523253
357	0.4794041133
358	0.4792959546
359	0.4792216264
360	0.4791524011
361	0.4790812219
362	0.478101556
363	0.4774642041
364	0.4773980291
365	0.4771804517
366	0.4770032057
367	0.4764976397
368	0.4764356556
369	0.4755744309
370	0.4754150502
371	0.4753568221
372	0.4750942634
373	0.4749392447
374	0.4740994515
375	0.4739507993
376	0.4732816931
377	0.4730933047
378	0.4729463053
379	0.4722625545
380	0.4722102809
381	0.4713564765
382	0.470790818
383	0.4707401967
384	0.4705226357
385	0.4704284068
386	0.4691543249
387	0.4689801633
388	0.4674595456
389	0.4668466199
390	0.4660644963
391	0.4659651996
392	0.465391176
393	0.4651999391
394	0.4647777155
395	0.4646223926
396	0.4640104956
397	0.4639852248
398	0.4633396899
399	0.4625191843
400	0.462382318
401	0.4619473419
402	0.4614379361
403	0.4611883479
404	0.4610568015
405	0.4604967336
406	0.459835831
407	0.4595389944
408	0.4587011451
409	0.4586645823
410	0.4571594446
411	0.4563380388
412	0.4555480026
413	0.4554336657
414	0.454833231
415	0.4540940458
416	0.4540680597
417	0.4527620074
418	0.4519230708
419	0.451897204
420	0.4518507965
421	0.4517741167
422	0.450706738
423	0.4505113146
424	0.449071995
425	0.4488813116
426	0.4477769856
427	0.4471976976
428	0.4471229362
429	0.4459697142
430	0.4458315365
431	0.4453547235
432	0.4446727442
433	0.4439643145
434	0.4433386521
435	0.4427978033
436	0.4422630945
437	0.4414739168
438	0.4409683717
439	0.4398044268
440	0.439015878
441	0.4378524178
442	0.4373365492
443	0.4357629709
444	0.4350698681
445	0.4344529262
446	0.4334320456
447	0.4329550648
